Name,Size,Size_unit,Size_g,Calories,Total_fats,Saturated_fats,Cholesterol,Sodium,Total_carbs,Dietary_fibers,Sugars,Proteins
tomato_paste,2,tbs,33,30,0,0,0,15,6,2,4,1
tomato_san_marzano,0.5,cup,115,30,0,0,0,40,6,0,4,1
tuna,,g,100,130,0.6,0.2,47,54,0,0,0,29
tuna_albacore_water,1,unit,153,190,3,0.5,70,340,0,0,0,42
turkey_breast,4,slice,56,60,0.5,0,25,460,1,0,1,11
turkey_ground_99_1,,g,112,120,1,0,70,55,0,0,0,28
turkey_stick,1,unit,32,80,3.5,1.5,45,390,0,0,0,12
vanilla_extract,1,tbs,13,38,0,0,0,1,1.6,0,1.6,0
walnut,,g,100,654,65,6,0,2,14,7,2.6,15
wine_red,1,glass,145,125,0,0,0,6,3.8,0,0.9,0.1
wine_white,1,glass,147,121,0,0,0,7.4,3.8,0,1.4,0.1
wrap_spicy_lentil,2,unit,284,440,7,0,0,1240,79,5,5,13
wrap_turkey,2,unit,269,510,13,11,65,1200,65,3,6,33
wrap_whole,1,unit,55,160,5,0.5,0,310,24,4,1,6
zucchini,1,unit,196,33,0.6,0.2,0,16,6,2,4.9,2.4
shallot,,g,100,72,0.1,0,0,12,17,3.2,8,2.5
brioche_bun,1,unit,67,180,3,1.5,20,310,31,0,7,5
